Temps de jeu (en sec.);Buts espérés;Lancers
71566.0;13.93;110.0
28267.0;3.63;41.0
1270.0;0.19;2.0
3754.0;0.23;4.0
67494.0;17.98;128.0
3444.0;0.44;7.0
716.0;0.0;0.0
7664.0;1.12;19.0
33625.0;4.2;42.0
28937.0;5.32;41.0
34293.0;6.36;74.0
2454.0;0.55;4.0
44819.0;7.08;68.0
55115.0;9.82;90.0
11917.0;1.65;22.0
49356.0;13.55;121.0
27780.0;3.37;42.0
54157.0;13.18;95.0
5533.0;0.71;8.0
984.0;0.18;2.0
1604.0;0.2;6.0
58318.0;12.45;100.0
1366.0;0.15;4.0
433.0;0.01;1.0
64753.0;13.01;112.0
18233.0;2.7;31.0
14160.0;1.47;17.0
60805.0;13.83;158.0
21903.0;3.08;33.0
17672.0;3.51;21.0
364.0;0.0;0.0
3391.0;0.33;4.0
68642.0;10.24;76.0
66064.0;13.64;148.0
35352.0;4.97;63.0
59988.0;15.87;125.0
4585.0;0.61;5.0
34707.0;7.28;63.0
58071.0;10.64;132.0
46674.0;7.09;67.0
338.0;0.0;0.0
52600.0;11.74;113.0
5290.0;0.45;4.0
76961.0;15.62;195.0
52105.0;8.97;87.0
60348.0;13.0;104.0
46188.0;11.77;97.0
14369.0;2.93;18.0
34491.0;8.76;66.0
54754.0;16.35;110.0
64265.0;12.88;112.0
39723.0;7.17;70.0
32745.0;5.04;47.0
25791.0;8.02;64.0
2248.0;0.4;6.0
53538.0;12.56;78.0
34402.0;9.52;90.0
63091.0;16.46;138.0
2296.0;0.1;0.0
60782.0;13.33;113.0
1027.0;0.16;1.0
65277.0;13.32;129.0
49576.0;13.68;103.0
49499.0;10.37;77.0
47271.0;10.08;106.0
61108.0;14.04;93.0
13093.0;2.16;28.0
59032.0;12.38;96.0
7014.0;0.78;9.0
9927.0;1.88;8.0
69314.0;11.46;113.0
61836.0;7.97;86.0
12281.0;1.96;22.0
35365.0;7.67;90.0
12547.0;1.72;18.0
35749.0;8.1;67.0
2447.0;0.19;5.0
6188.0;1.07;10.0
44753.0;6.14;71.0
3822.0;0.66;10.0
65409.0;25.34;155.0
3038.0;0.25;1.0
2011.0;0.13;1.0
67165.0;14.66;147.0
29755.0;4.99;55.0
74421.0;18.51;147.0
47649.0;9.84;66.0
64992.0;13.33;193.0
69624.0;15.2;151.0
28921.0;5.31;49.0
1681.0;0.14;4.0
9990.0;1.43;13.0
58836.0;11.4;107.0
57499.0;13.29;149.0
62274.0;16.48;141.0
63876.0;13.98;135.0
68407.0;19.92;177.0
59095.0;10.2;92.0
56033.0;10.59;93.0
70301.0;22.7;229.0
60958.0;22.64;179.0
73933.0;16.7;161.0
63717.0;14.48;143.0
36749.0;6.51;47.0
75157.0;19.14;179.0
17961.0;4.57;36.0
30373.0;8.73;60.0
14472.0;4.7;29.0
321.0;0.01;1.0
66654.0;12.18;110.0
25243.0;5.51;52.0
30876.0;4.38;56.0
41046.0;6.07;66.0
46398.0;8.71;102.0
784.0;0.39;1.0
950.0;0.32;1.0
15269.0;3.03;29.0
40303.0;7.34;69.0
62945.0;8.42;66.0
1387.0;0.05;2.0
31485.0;8.13;83.0
60476.0;14.6;122.0
60207.0;14.95;138.0
51776.0;11.06;71.0
19759.0;3.45;27.0
59207.0;10.62;129.0
80093.0;16.88;202.0
11574.0;1.4;18.0
66431.0;13.25;134.0
62285.0;11.9;101.0
34568.0;6.19;54.0
58245.0;9.37;98.0
62566.0;10.7;106.0
60888.0;15.47;181.0
59987.0;15.98;160.0
38817.0;6.19;60.0
49550.0;13.07;91.0
22242.0;3.92;50.0
369.0;0.0;0.0
65396.0;12.94;123.0
42405.0;9.61;74.0
12301.0;1.83;19.0
61847.0;9.76;129.0
36133.0;7.34;61.0
58047.0;13.41;125.0
7239.0;1.16;14.0
58901.0;7.97;90.0
4756.0;0.75;9.0
66029.0;15.77;165.0
53130.0;8.74;90.0
1668.0;0.44;3.0
42750.0;6.04;63.0
51038.0;11.09;124.0
40210.0;6.19;56.0
12280.0;2.22;23.0
31724.0;4.71;41.0
31994.0;6.06;75.0
50492.0;11.72;128.0
3546.0;0.78;7.0
2019.0;0.0;0.0
8022.0;4.22;23.0
46980.0;11.4;88.0
11956.0;2.98;23.0
68336.0;13.38;113.0
59836.0;11.58;116.0
57054.0;13.91;126.0
1670.0;0.19;3.0
7650.0;1.53;10.0
28106.0;6.62;49.0
55383.0;12.01;132.0
359.0;0.0;0.0
59391.0;11.49;104.0
54852.0;16.66;148.0
10222.0;3.83;28.0
42573.0;7.17;83.0
43626.0;6.89;85.0
43560.0;7.44;91.0
70388.0;12.39;130.0
61876.0;13.41;154.0
31356.0;8.05;92.0
37367.0;6.56;70.0
2508.0;0.12;2.0
39798.0;7.72;85.0
44944.0;9.23;90.0
70465.0;14.39;165.0
16849.0;3.49;31.0
52818.0;10.71;98.0
15134.0;4.72;32.0
71831.0;14.91;193.0
19872.0;4.39;44.0
55522.0;13.87;103.0
5820.0;0.54;6.0
47156.0;6.6;90.0
6885.0;1.43;17.0
37168.0;7.9;65.0
66603.0;11.89;125.0
31183.0;3.36;42.0
2156.0;0.76;7.0
710.0;0.03;2.0
49555.0;11.52;73.0
48626.0;12.54;97.0
47478.0;10.43;119.0
48788.0;10.65;104.0
460.0;0.12;2.0
42901.0;5.67;58.0
1622.0;0.25;1.0
71482.0;13.72;143.0
23573.0;3.91;26.0
67429.0;15.79;175.0
64246.0;14.88;173.0
54.0;0.0;0.0
37139.0;5.06;67.0
65197.0;14.6;124.0
50342.0;10.84;111.0
62094.0;14.85;112.0
12049.0;3.23;29.0
19033.0;2.89;29.0
16230.0;2.77;31.0
45222.0;10.21;96.0
45940.0;9.28;129.0
65258.0;10.37;132.0
1581.0;0.15;2.0
11369.0;1.71;17.0
2434.0;0.37;4.0
58009.0;13.16;127.0
5466.0;0.9;16.0
44684.0;8.05;74.0
705.0;0.0;0.0
29183.0;4.01;52.0
9408.0;0.57;4.0
68702.0;16.9;187.0
2002.0;0.17;2.0
34140.0;5.87;48.0
55154.0;10.89;94.0
53937.0;7.03;86.0
32169.0;5.68;70.0
49345.0;8.47;83.0
33447.0;6.28;52.0
74334.0;20.05;241.0
3078.0;0.37;6.0
42415.0;8.22;79.0
53711.0;10.88;98.0
12027.0;1.32;24.0
13757.0;3.79;49.0
64591.0;13.81;137.0
49321.0;7.2;72.0
52012.0;6.59;55.0
69873.0;12.85;151.0
74370.0;17.2;214.0
16820.0;3.47;19.0
61637.0;15.91;212.0
5104.0;1.69;15.0
48079.0;7.37;57.0
749.0;0.08;1.0
41416.0;7.6;56.0
56100.0;18.08;138.0
19593.0;2.73;34.0
59134.0;17.53;154.0
949.0;0.13;1.0
83526.0;18.46;176.0
